ranking_date,rank,player,points,tours
20260105,358,221362,173,0
20260105,359,220808,172,0
20260105,360,201616,171,0
20260105,361,221213,169,0
20260105,362,260664,169,0
20260105,363,221789,168,0
20260105,364,211539,167,0
20260105,365,246478,167,0
20260105,366,239476,167,0
20260105,367,221000,166,0
20260105,368,215820,166,0
20260105,369,216385,166,0
20260105,370,252495,165,0
20260105,371,220513,165,0
20260105,372,221023,163,0
20260105,373,206345,163,0
20260105,374,219887,163,0
20260105,375,215431,162,0
20260105,376,221159,162,0
20260105,377,221191,161,0
20260105,378,246481,161,0
20260105,379,215840,161,0
20260105,380,214992,161,0
20260105,381,202410,160,0
20260105,382,266622,160,0
20260105,383,215064,159,0
20260105,384,221382,159,0
20260105,385,211920,158,0
20260105,386,232881,158,0
20260105,387,211063,157,0
20260105,388,213657,157,0
20260105,389,221265,156,0
20260105,390,260168,156,0
20260105,391,259853,155,0
20260105,392,221364,155,0
20260105,393,213849,154,0
20260105,394,215314,153,0
20260105,395,260541,152,0
20260105,396,252587,151,0
20260105,397,220364,151,0
20260105,398,211529,150,0
20260105,399,206255,149,0
20260105,400,221247,149,0
20260105,401,221187,149,0
20260105,402,215588,149,0
20260105,403,221104,149,0
20260105,404,214546,148,0
20260105,405,213837,148,0
20260105,406,215592,148,0
20260105,407,221486,147,0
20260105,408,259967,146,0
20260105,409,216139,146,0
20260105,410,214862,145,0
20260105,411,215550,145,0
20260105,412,203288,144,0
20260105,413,260510,144,0
20260105,414,239156,143,0
20260105,415,213767,143,0
20260105,416,215566,143,0
20260105,417,221086,143,0
20260105,418,221031,142,0
20260105,419,211874,142,0
20260105,420,220560,142,0
20260105,421,215468,142,0
20260105,422,223302,141,0
20260105,423,220673,139,0
20260105,424,221369,139,0
20260105,425,254733,138,0
20260105,426,204411,137,0
20260105,427,221178,136,0
20260105,428,216116,136,0
20260105,429,221259,136,0
20260105,430,236956,134,0
20260105,431,220554,133,0
20260105,432,222297,133,0
20260105,433,215166,133,0
20260105,434,266450,133,0
20260105,435,222559,132,0
20260105,436,220613,132,0
20260105,437,220781,131,0
20260105,438,211756,131,0
20260105,439,260206,131,0
20260105,440,216253,131,0
20260105,441,221020,129,0
20260105,442,221443,127,0
20260105,443,223415,126,0
20260105,444,239442,126,0
20260105,445,211329,126,0
20260105,446,201524,125,0
20260105,447,220842,124,0
20260105,448,216160,124,0
20260105,449,220598,124,0
20260105,450,211820,123,0
20260105,451,206362,123,0
20260105,452,221945,121,0
20260105,453,201483,120,0
20260105,454,219625,120,0
20260105,455,216162,120,0
20260105,456,222092,120,0
20260105,457,204394,120,0
20260105,458,213974,120,0
20260105,459,233742,119,0
20260105,460,259794,119,0
20260105,461,264187,119,0
20260105,462,252493,118,0
20260105,463,215459,118,0
20260105,464,206124,117,0
20260105,465,213771,117,0
20260105,466,214779,117,0
20260105,467,202434,115,0
20260105,468,216095,115,0
20260105,469,203513,115,0
20260105,470,260006,113,0
20260105,471,221168,113,0
20260105,472,203578,113,0
20260105,473,213753,112,0
20260105,474,222171,112,0
20260105,475,260714,112,0
20260105,476,223100,112,0
20260105,477,214507,111,0
20260105,478,215733,111,0
20260105,479,223141,111,0
